"Name","Type","Manufacturer","World Drop","Drop Source","Location","Quest / Challenge","Summary","Red Text","Elements","Mayhem Only Level","Not Anointable"
"Rowan's Call","AR","Jakobs ",1,"Red Rain","Slaughterstar 3000","Slaughterstar 3000","Crit ricochets 2 bullets & returns 2 bullets to mag. Lasers","Uh-oh!","F S R",,
"Amazing Grace","Pistol","Jakobs ",0,"Quest Reward","Devil's Razor","Life of the Party","Crit returns bullet to mag. Low fire rate. High dmg","Memento mori.","N",,
"King's Call
Queen's Call","Pistol","Jakobs ",0,"Tyreen the Destroyer","Destroyer's Rift","Divine Retribution","Crit ricochets 3 bullets & returns 3 bullets to mag","Life is ours, we live it our way.","F S
C R O",,
"Maggie","Pistol","Jakobs ",1,"Tremendous Rex","Cistern of Slaughter","Cistern of Slaughter","6 pellets per shot. Low accuracy","Monty's wife don't take no guff.","N",,
"The Companion","Pistol","Jakobs ",1,"Hot Karl","Devil's Razor","Crew Challenge","Crit ignites enemy. Very High elemental dmg","You can't take the sky from me.","F",,
"The Duc","Pistol","Jakobs ",1,"The Rampager","Forgotten Basilica","Beneath the Meridian","Sticky explosive rounds. Crit ricochets 2 bullets to nearest enemy","Fire that off to me real quick.","N",,
"The Flood","Pistol","Jakobs ",1,"Lagromar","Konrad's Hold","The Demon in the Dark","Full-Auto. Incredibly fast fire rate","Take us.","N",,
"Unforgiven","Pistol","Jakobs ",1,"Indo Tyrant","Floodmoor Basin","Rare Enemy"," +432% crit dmg. Unique reload animation","It's a helluva thing...","N",,
"Wagon Wheel","Pistol","Jakobs ",1,"Warden","The Anvil","Hammerlocked","Ricochets 6 bullets off enemy","Keep them doggies rollin'.","N",,
"Wagon Wheel","Pistol","Jakobs ",1,"Loot-o-Gram","Skywell-27","Dinklebot","Ricochets 6 bullets off enemy","Keep them doggies rollin'.","N",,
"Hellwalker","Pistol","Jakobs ",1,"Road Dog","The Splinterlands","Rare Enemy","Guitar riff on pickup & every shot. Star shaped spread. Quick reload","So, my demons. Your time has come.","F",,
"Nimble Jack","Shotgun","Jakobs ",0,"Handsome Jackie","Skywell-27","Crew Challenge","Tight spread. 1 shot reload","Jack be nimble, Jack be quick, Jack jump and kill lunatics.","N",,
"One Pump Chump","Shotgun","Jakobs ",0,"One Punch","Lectra City","Rare Enemy","50% chance to not consume ammo","I swear, that has never happened before.","N",,
"Sledge's Shotgun","Shotgun","Jakobs ",0,"Hot Karl","Devil's Razor","Crew Challenge","High mag size. Fires in bursts. 2 ammo/shot","The Legend Lives (still)","N",,
"T.K's Wave","Shotgun","Jakobs ",1,"Dumptruck","The Droughts","Dump on Dumptruck","Projectiles travel in a wave pattern. Ricochets off surfaces.","Ride the wave, dude!","N F S",,
"The Garcia","Shotgun","Jakobs ",0,"Chonk Stomp","Floodmoor Basin","Crew Challenge","High mag size. 2 ammo/shot","Rooty Tooty Pointy Shooty","N",,
"The Tidal Wave","Shotgun","Jakobs ",1,"Dumptruck","The Droughts","Dump on Dumptruck","Projectiles travel in a tidal wave pattern. Ricochets off surfaces. ","Flee the wave, dude!","N",,
"Headsplosion","Sniper","Jakobs ",0,"Manvark","Konrads Hold","Crew Challenge","Shots explode on impact","That happens all the time.","N",,
"Monocle ","Sniper","Jakobs ",1,"Demoskaggons","The Droughts","Rare Enemy","High +crit dmg bonus while ADS ~500%. High accuracy. High Zoom","One is enough.","N",,
"Wedding Invitation","Sniper","Jakobs ",0,"100 Broken Hearts","N/A","Broken Hearts","Shoots as fire, ricochets as cryo. Crit returns 1 bullet","Will you be the rest of my life?","F/O",,
"Hellshock","Pistol","Maliwan",1,"Gigamind","Meridian Metroplex","Hostile Takeover","2 projectiles/shot. Ricochet switches projectile element","I had not thought death had undone so many.","F/S",,
"Hyper-Hydrator","Pistol","Maliwan",0,"Deluxe Edition","N/A","N/A","Water gun / Taser. Wet enemies take increased shock dmg","Moister is noice-ter","S",,
"Sellout","Pistol","Maliwan",0,"Suicide option","Ambermire","Sellout","Quick laser that explodes as an orb on impact. Damages user","Hey there, superfan!","F/C",,
"Superball","Pistol","Maliwan",1,"Baron Noggin","Meridian Metroplex","Crew Challenge","Shoots small fire balls that bounce along the ground","Flower power.","F",,
"Thunderball Fists","Pistol","Maliwan",1,"Power Troopers","Atlas HQ","Rare Enemy","Shock orb. 2 ammo/shot","I can have such a thing?","S",,
"Kill-o'-the-Wisp","Shotgun","Maliwan",1,"Katagawa Ball","Skywell-27","Space-Laser Tag","Charge up to shoot a large slow shock orb. 4 ammo/shot","Some say it can lead you to your fate.","S",,
"Mind-Killer","Shotgun","Maliwan",0,"Mouthpiece","Ascension Bluff","Cult Following","Can charge up shot.","I must not fear. Fear is the mind-killer","N",,
"Recursion","Shotgun","Maliwan",1,"General Traunt","Desolation's Edge","Footsteps of Giants","Shoots a disk that ricochets off walls","See green text for description | See red text for description","Any",,
"Trevonator","Shotgun","Maliwan",1,"Private Beans","Athenas","Invasion of Privacy","Very low charge time. 3-round burst","Trev is gunna get you!","Any",,
"Vosk's Deathgrip","Shotgun","Maliwan",0,"Troy Calypso","The Great Vault","The Great Vault","""Vosk's Grasp"", a singularity shot / 6 shot laser trap","A good death is its own reward.","F C S R O",,
"Vosk's Deathgrip","Shotgun","Maliwan",0,"Valkyrie Squad / Wotan","Midnight's Cairn","Maliwan Takedown","""Vosk's Grasp"", a singularity shot / 6 shot laser trap","A good death is its own reward.","F C S R O",,
"Cloud Kill","SMG","Maliwan",0,"Talk to Ava","Forgotten Basilica","Beneath the Meridian","Produces a green cloud. High fire rate","Now, you will rise.","C",,
"Cutsman","SMG","Maliwan",1,"Borman Nates","Meridian Outskirts","Rare Enemy","[Bladed]. 2 ammo/shot","Little android man, born without a soul.","F C S",,
"Destructo Spinner","SMG","Maliwan",1,"Power Troopers","Atlas HQ","Rare Enemy","Projectiles spin","I've been hired for destruction.","Any",,
"Devoted","SMG","Maliwan",1,"Captain Traunt","Athenas","The Impending Storm","Increases fire rate the longer you shoot. High mag size","This is your champion.","Any",,
"Kyb's Worth","SMG","Maliwan",0,"Wotan the Invincible","Midnight's Cairn","Maliwan Takedown","Fallen enemies spawn a Healing Aura once every 10 seconds","Stand in the f****** circle.","Any",,
"Terminal Polyaimorous","SMG","Maliwan",0,"50 Hearts","N/A","Broken Hearts","Shoots a continuous beam. Chains to nearby enemies","Spread the love.","F/S",,
"Tsunami","SMG","Maliwan",0,"Katagawa Ball","Skywell-27","Space-Laser Tag","Fires in alternating diagonal rows of corrosive & shock","You can't explain that.","C/S",,
"Vault Hero","SMG","Maliwan",0,"VIP Insider Reward","N/A","N/A","N/A","N/A","C/S",,
"Westergun","SMG","Maliwan",0,"Private Beans","Athenas","Invasion of Privacy"," +75 splash radius","I believe ya, but my tommy gun don't.","Any",,
"ASMD","Sniper","Maliwan",1,"Maxitrillion","Voracious Canopy","Rare Enemy","Energy shots / Orb. Orb explodes when shot with energy bolt","You planning a follow up?","S",,
"Firestorm","Sniper","Maliwan",1,"Katagawa Jr.","Atlas HQ","Atlas, At Last","High splash radius. 2 ammo/shot.","Seek shelter immediately.","F",,
"Krakatoa","Sniper","Maliwan",1,"The Rampager","Forgotten Basilica","Beneath the Meridian","Turns killed enemies into volcanoes (must be on ground). Full-Auto","Get him angry and he's bound to erupt","F",,
"Storm","Sniper","Maliwan",1,"Katagawa Jr.","Atlas HQ","Atlas, At Last","Shock orb on impact. 2 ammo/shot. High splash radius","Tut, Tut, it looks like rain.","S",,
"Baby Maker ++","Pistol","Tediore",1,"CL4P-TP Mail","N/A","Dead Claptrap 100%","Reload explodes on impact and becomes 4 flying pistols","Safety off.","Any",,
"Baby Maker ++","Pistol","Tediore",1,"Brood Mother","The Pyre of Stars","Crew Challenge","Reload explodes on impact and becomes 4 flying pistols","Safety off.","Any",,
"Baby Maker ++","Pistol","Tediore",1,"Alacritous Vanda","Cistern of Slaughter","Cistern of Slaughter","Reload explodes on impact and becomes 4 flying pistols","Safety off.","Any",,
"Bangarang XL","Pistol","Tediore",1,"Thunk & Sloth","Konrad's Hold","Rare Enemy","Reload flies around continuously spinning & shooting rapidly","To die would be a grand adventure.","Any",,
"Gunerang XL","Pistol","Tediore",1,"Indo Tyrant","Floodmoor Basin","Rare Enemy","Reload flies around like a Boomerang","Give it a burl.","N C S R O",,
"S3RV-8OS-Execute+","Pistol","Tediore",0,"General Traunt","Desolation's Edge","Footsteps of Giants","Reload on empty debuffs enemy for 50% increased dmg for 12 seconds_x005F_x000D_
Fast reload throw and velocity","Touch of death requires mastery of combo strikes.","C O",,
"S3RV-8OS-Execute+","Pistol","Tediore",0,"Wotan the Invincible","Midnight's Cairn","Maliwan Takedown","Reload on empty debuffs enemy for 50% increased dmg for 12 seconds_x005F_x000D_
Fast reload throw and velocity","Touch of death requires mastery of combo strikes.","C O",,
"Scorpio XL","Pistol","Tediore",0,"Judge Hightower","Lectra City","Crew Challenge","Reload creates Roland's turret","Mobile oppression for pennies a day.","N",,
"Creeping Death","Shotgun","Tediore",0,"Mother of Grogans","The Anvil","Rare Enemy","Reload creates target for homing grenades the gun shoots","I creep across the land.","C",,
"The Horizon","Shotgun","Tediore",0,"Maxitrillion","Voracious Canopy","Rare enemy","Reload projects target that can be shot to create a Singularity","You can't leave. She wont let you.","Any",,
"Polybius","Shotgun","Tediore",1,"GenIVIV","Voracious Canopy","The Family Jewel","Reload becomes a crab turret. Spread forms a square","21. 11. 33. 14. 24. 42.","F C S R O",,
"Long Musket ++","SMG","Tediore",1,"Lagromar","Konrad's Hold","The Demon in the Dark","Reload has legs. Flamethrower. Can stick to walls.","Say ""cryptocurrency""!","F",,
"Smart Gun XXL","SMG","Tediore",0,"Gigamind","Meridian Metroplex","Hostile Takeover","Reload becomes a sticky turret ","Busy getting brain like Krang.","C",,
"Ten Gallon","SMG","Tediore",1,"GenIVIV","Voracious Canopy","The Family Jewel","Reload becomes a drone. Explode on impact","Let me tell you about my best friend.","Any",,
"Alchemist","AR","TORGUE",1,"Heckle/Hyde","Jakobs Estate","Crew Challenge","Semi-Auto. Sticks as shock, explodes as fire. Damages user","You can't gain something without giving something in return.","F/S",,
"Bearcat","AR","TORGUE",1,"Heckle/Hyde","Jakobs Estate","Crew Challenge","Launches horizontal row of grenades. 4 ammo/shot","I love the smell of popcorn in the morning","Any",,
"Juliet's Dazzle","AR","TORGUE",0,"Aurelia Hammerlock","Blackbarrel Cellars","Cold as the Grave","Killing an enemy automatically refills the magazine.","Lights up the world","N O",,
"Juliet's Dazzle","AR","TORGUE",0,"Valkyrie Squad / Wotan","Midnight's Cairn","Maliwan Takedown","Killing an enemy automatically refills the magazine.","Lights up the world","N O",,
"Laser-Sploder","AR","TORGUE",1,"Sylestro","Tazendeer Ruins","Crew Challenge","Constant laser of elemental damage and rockets","LASERS ≠ EXPLOSIONS!?","F C S R O",,
"Try-Bolt","AR","TORGUE",1,"Manvark","Konrad's Hold","Crew Challenge","3 round grenade launcher","Do... or do not-bolt.","N F C S R",,
"Breeder","Pistol","TORGUE",1,"Psychobillies","Ambermire","Crew Challenge","Shoots sticky that spawns small mirv grenades","Man hands on misery to man.","Any",,
"Devastator","Pistol","TORGUE",1,"Unstoppable","Ambermire","Rare Enemy","2-round burst. +292 splash radius","Hail.","N",,
"Devils Foursum","Pistol","TORGUE",1,"Psychobillies","Ambermire","Crew Challenge","3 explosive shots that come together at a single point","I love it when a plan comes together.","Any",,
"Girth Blaster Elite","Pistol","TORGUE",0,"Deluxe Edition","N/A","N/A","Toy gun that shoots foam darts","Don't go to pieces on me.","N",,
"Moonfire","Pistol","TORGUE",0,"Wotan the Invincible","Midnight's Cairn","Maliwan Takedown","Every 3rd shot is a powerful shot","Meet your destiny.","Any",,
"Occultist","Pistol","TORGUE",0,"Troy Calypso","The Great Vault","The Great Vault","Shoots swirling fireballs","The only way you can control people is to lie to them.","F",,
"Roisen's Thorns","Pistol","TORGUE",1,"Princess Tarantella II","The Splinterlands","Rare Enemy","Impact shoots 4 fire rockets and 1 corrosive. Sticky is only corrosive","Where there is pleasure, there is pain.","C",,
"Echo","Pistol","TORGUE",1,"Psychobillies","Ambermire","Crew Challenge","Sticky shot for delayed explosion","Don't make me repeat myself.","Any",,
"Hive","RPG","TORGUE",0,"Princess Tarantella II","The Splinterlands","Rare Enemy","Launches hovering ball that shoots many rockets before exploding","Full of bees.","C R",,
"R.Y.N.A.H. ","RPG","TORGUE",0,"N/A","N/A","N/A","N/A","You've had this one coming a long time.","R",,
"Scourge","RPG","TORGUE",1,"Brood Mother","The Pyre of Stars","Crew Challenge","Shoots 1 large rocket with 3 smaller swirling around it. 4 ammo/shot","Or am I?","Any",,
"Scourge","RPG","TORGUE",1,"Alacritous Vanda","Cistern of Slaughter","Cistern of Slaughter","Shoots 1 large rocket with 3 smaller swirling around it. 4 ammo/shot","Or am I?","Any",,
"Stuffed Quadomizer","RPG","TORGUE",0,"The Rampager","Forgotten Basilica","Beneath the Meridian","Shoots 4 Massive Rockets. Alternates elements. 2 ammo/shot","Damn near killed 'em.","FCR",,
"Tunguska","RPG","TORGUE",1,"Chonk Stomp","Floodmoor Basin","Crew Challenge","Fires 2 rockets that rise on impact before detonating","Crack the skye.","N",,
"Flakker","Shotgun","TORGUE",1,"Manvark","Konrad's Hold","Crew Challenge","Explosions everywhere. 5 ammo/shot","Flak the world.","N F R",,
"Redline","Shotgun","TORGUE",0,"Road Dog","The Splinterlands","Rare Enemy","Stuck gyrojets increase dmg by 5% each. 2 ammo/shot","I live my life a quarter mag at a time.","Any",,
"The Boring Gun","Shotgun","TORGUE",1,"Antalope","Devil's Razor","Crew Challenge","Shoots 3 grounded sawblades that dig in fired direction. 2 ammo/shot","This is beyond science.","Any",,
"The Lob","Shotgun","TORGUE",1,"Graveward","The Floating Tomb","Cold as the Grave","3-round burst of big slow orbs that pass through enemies","Everything has to be magical.","F C S R O",,
"Tiggs' Boom","Shotgun","TORGUE",0,"Wotan the Invincible","Midnight's Cairn","Maliwan Takedown","Shots pierce enemies. Makes meteors fall from the sky. 2 ammo/shot","A gaping hole in the sky.","F C S R O",,
"Damned","AR","Vladof",1,"Agonizer 9000","Guts of Carnivora","Blood Drive","Weapon shield","Well, I'll be...","Any",,
"Engulfing Shredifier","AR","Vladof",1,"Raging Titan","The Slaughter Shaft","The Slaughter Shaft","Full-Auto / Random underbarrel attachment. High fire rate & mag size","Speed Kills.","Any",,
"Faisor","AR","Vladof",1,"Atomic","Tazendeer Ruins","Crew Challenge","Full auto / Shotgun","Set Faisors to kill.","Any",,
"Lucian's Call","AR","Vladof",1,"Loot-o-Gram","Skywell-27","Dinklebot","Crit returns 2 bullets to mag & ricochets 2 bullets","What happened?","F C O",,
"Lucian's Call","AR","Vladof",1,"Blue Fire","Slaughterstar 3000","Slaughterstar 3000","Crit returns 2 bullets to mag & ricochets 2 bullets","What happened?","F C O",,
"Ogre","AR","Vladof",1,"Anointed Alpha","The anvil","Malevolent Practice","Shots explode on impact. High magazine size","It's all ogre now.","N",,
"The Dictator","AR","Vladof",1,"Agonizer 9000 & Pain","Guts of Carnivora","Blood Drive","Full-Auto 3 projectiles / Bipod 7 projectiles. Fires in horizontal spread","Let them hate me, so that they will but fear me.","Any",,
"Sickle","AR","Vladof",1,"Warden","The Anvil","Hammerlocked","It's really a Full-Auto shotgun. Spread forms a sickle. 2 ammo/shot","Swing the sickle!","Any",,
"Infinity","Pistol","Vladof",1,"Anointed Alpha","The anvil","Malevolent Practice","Infinite Ammo. Full-Auto. Spray pattern resembles infinity symbol","It's closer than you think! (no it isn't)","Any",,
"Magnificent","Pistol","Vladof",1,"Jabbermogwai","Voracious Canopy","Crew Challenge","Very low accuracy. High fire rate","Yedesh na den', khleba beri na nedelyu.","N F C S",,
"Jericho","RPG","Vladof",1,"Crushjaw","C. of the Twin Gods","Crew Challenge","Launcher / Mortar. Explodes into mirv grenades","I prefer the weapon you only need to fire once.","R",,
"Mongol","RPG","Vladof",0,"N/A","N/A","N/A","N/A","Man is a horde animal.","F C S R",,
"Lyuda","Sniper","Vladof",1,"Zer0 Mail","N/A","Target of Opportunity 100%","N/A","Man killer.","Any",,
"Lyuda","Sniper","Vladof",1,"Tremendous Rex","Cistern of Slaughter","Cistern of Slaughter","Splits into 3 projectiles","Man killer.","Any",,
